Gene Name,UTR5 Length,UTR5 GC Count,CDS Length,CDS GC Count,UTR3 Length,UTR3 GC Count,Transcript Size
Psip1,325,251,1587,666,1339,466,3251
Ccdc171,258,130,399,204,731,292,1388
Bnc2,109,78,3099,1605,177,79,3385
Cntln,61,38,957,507,1221,355,2239
Sh3gl2,136,106,1059,538,1627,712,2822
Adamtsl1,143,81,5262,2961,2434,1135,7839
Saxo1,288,164,1431,706,173,47,1892
Rraga,251,178,942,468,425,142,1618
Haus6,242,156,2802,1167,3114,1222,6158
Plin2,142,80,1278,676,468,227,1888
Dennd4c,0,0,5721,2600,149,57,5870
Rps6,86,51,750,376,42,12,878
Acer2,93,64,828,432,3295,1526,4216
Slc24a2,310,194,2001,990,8220,3446,10531
Mllt3,269,174,1710,808,4090,1531,6069
Focad,78,43,5397,2686,316,129,5791
Hacd4,56,37,699,307,1334,551,2089
Ifnb1,0,0,549,263,201,65,750
Ifna15,0,0,573,308,0,0,573
Ifna14,0,0,570,305,0,0,570
Ifna9,0,0,573,304,0,0,573
Ifna12,68,34,570,305,159,64,797
C87499,117,58,1482,674,302,124,1901
Ifna13,74,27,570,297,175,61,819
Ifna16,68,35,570,293,372,110,1010
Ifna2,133,61,573,304,326,88,1032
Ifnab,132,56,573,311,353,109,1058
Klhl9,463,321,1854,828,1857,613,4174
Gm26566,169,90,462,316,407,219,1038
Gm13271,0,0,549,318,0,0,549
Gm13283,655,406,549,324,259,129,1463
Gm13290,160,102,549,324,259,129,968
Gm13289,0,0,549,324,0,0,549
Gm13272,0,0,549,326,262,129,811
Ifnz,655,407,549,322,258,129,1462
Gm13276,0,0,549,324,0,0,549
Gm13277,0,0,549,324,0,0,549
Gm13278,0,0,549,324,0,0,549
Gm13275,0,0,549,324,0,0,549
Gm13279,0,0,549,324,0,0,549
Gm13285,655,410,549,325,258,126,1462
Gm13287,0,0,549,324,0,0,549
Gm13288,655,411,549,324,1646,719,2850
Ifna7,0,0,573,308,0,0,573
Ifna11,0,0,573,303,0,0,573
Ifna6,0,0,570,309,0,0,570
Ifna5,0,0,570,306,0,0,570
Ifna4,0,0,561,280,0,0,561
Ifna1,0,0,570,307,0,0,570
Ifne,22,14,579,292,63,33,664
Mtap,370,224,852,410,1575,649,2797
Cdkn2a,81,50,507,322,264,121,852
Cdkn2b,242,167,393,266,755,344,1390
Dmrta1,111,72,1473,849,2495,850,4079
Zfp352,198,90,1656,753,422,165,2276
Elavl2,241,124,1122,523,2477,828,3840
Izumo3,243,101,792,330,217,82,1252
Tusc1,91,76,618,473,665,312,1374
Caap1,92,62,1071,545,944,266,2107
Plaa,219,161,2385,1050,180,55,2784
Ift74,176,111,1803,710,160,68,2139
Lrrc19,154,62,1095,440,1571,484,2820
Tek,341,179,3372,1646,941,366,4654
Eqtn,42,18,1014,424,18,4,1074
Mysm1,35,23,2460,1037,4925,1908,7420
Jun,951,596,1005,634,1233,541,3189
Fggy,97,57,1659,828,135,61,1891
Hook1,254,197,2187,960,3076,1110,5517
Cyp2j13,72,41,1512,720,2790,1167,4374
Cyp2j12,96,52,1509,684,70,27,1675
Cyp2j7,0,0,1515,685,0,0,1515
Cyp2j11,95,52,1515,675,307,98,1917
Cyp2j8,0,0,1512,662,0,0,1512
Cyp2j6,210,117,1506,691,1889,733,3605
Cyp2j9,233,122,1509,713,295,110,2037
Cyp2j5,144,71,1506,679,695,252,2345
Gm12695,26,13,1638,741,240,109,1904
E130114P18Rik,48,30,204,102,840,309,1092
Nfia,360,235,1530,806,7636,3024,9526
Tm2d1,70,46,627,297,330,99,1027
Patj,168,109,5505,2808,1667,764,7340
L1td1,229,135,2349,1107,364,163,2942
Kank4,179,110,3051,1731,1565,713,4795
I0C0044D17Rik,414,198,510,258,1340,652,2264
Usp1,484,349,2355,993,738,237,3577
Dock7,0,0,6297,2894,0,0,6297
Angptl3,51,16,1368,586,63,19,1482
Atg4c,578,346,1377,586,1223,465,3178
Gm12689,12,5,354,186,993,497,1359
Foxd3,326,233,1410,1017,588,263,2324
Alg6,163,80,1524,650,1392,489,3079
Itgb3bp,99,54,531,198,2176,813,2806
Efcab7,0,0,1713,701,0,0,1713
Pgm1,152,107,1689,886,530,258,2371
Ror1,428,285,2814,1454,2520,978,5762
Ube2u,333,166,1059,429,145,64,1537
Cachd1,454,335,3867,2057,1444,620,5765
Raver2,131,106,2022,1114,1892,847,4045
Jak1,316,209,3462,1659,1128,469,4906
Ak4,360,265,672,347,3328,1547,4360
Dnajc6,393,244,2703,1409,2226,850,5322
Leprot,92,61,396,206,1410,630,1898
Lepr,555,327,2679,1178,176,66,3410
B020004J07Rik,143,71,1431,662,402,157,1976
C130073F10Rik,102,54,606,280,205,87,913
Gm12800,0,0,1455,656,0,0,1455
Gm12794,0,0,1452,660,0,0,1452
Gm12790,334,167,606,289,11,6,951
Gm12789,349,164,495,246,39,13,883
Pde4b,218,112,2166,1055,1920,807,4304
Sgip1,421,243,1980,1007,1904,696,4305
Tctex1d1,0,0,522,245,1250,479,1772
Insl5,45,25,408,216,242,102,695
Wdr78,399,282,2424,1081,1222,510,4045
Mier1,240,157,1587,665,3003,1068,4830
Slc35d1,298,250,921,436,3023,1342,4242
4921539E11Rik,582,254,1341,511,525,205,2448
Oma1,91,56,1566,790,258,83,1915
Dab1,263,173,1668,871,3347,1396,5278
C8b,81,39,1770,867,388,173,2239
C8a,27,13,1764,873,1826,803,3617
Fyb2,34,24,2382,1161,720,263,3136
Prkaa2,92,78,1659,813,6218,2349,7969
Plpp3,478,317,939,520,1742,747,3159
Gm12728,0,0,234,119,0,0,234
Usp24,238,198,7854,3691,2483,1112,10575
Pcsk9,419,262,2085,1283,1017,518,3521
Bsnd,242,144,924,555,1590,838,2756
Tmem61,194,115,594,355,202,106,990
Dhcr24,129,105,1551,894,2348,1302,4028
Lexm,19,11,1245,651,305,165,1569
Ttc22,119,87,1707,1056,728,384,2554
Pars2,39,26,1428,798,724,383,2191
Ttc4,81,53,1161,584,879,438,2121
Mroh7,285,150,3840,2121,221,134,4346
Fam151a,73,39,1827,1032,23,8,1923
Acot11,130,83,1785,1021,3774,1969,5689
Ssbp3,387,302,1167,654,1641,776,3195
Mrpl37,73,43,1272,704,153,82,1498
Cyb5rl,69,36,951,530,1496,828,2516
Cdcp2,0,0,1623,973,0,0,1623
Tceanc2,351,223,624,289,5456,2660,6431
Tmem59,330,221,972,484,473,171,1775
Ldlrad1,290,162,657,399,146,80,1093
Lrrc42,272,193,1266,636,217,86,1755
Hspb11,86,56,432,185,90,18,608
Dio1,51,33,774,444,865,385,1690
Yipf1,149,89,921,471,251,126,1321
Ndc1,305,196,2022,961,2257,945,4584
Glis1,221,162,2370,1491,315,167,2906
Dmrtb1,68,39,1080,704,713,360,1861
Lrp8,0,0,2991,1767,506,204,3497
Magoh,103,59,441,189,148,41,692
Czib,78,52,483,252,2436,1139,2997
Cpt2,144,98,1977,1037,251,112,2372
Slc1a7,244,143,1680,965,1083,537,3007
Podn,403,265,1836,1055,931,492,3170
Scp2,85,52,1644,808,911,323,2640
Echdc2,92,65,891,536,324,146,1307
Zyg11a,0,0,2121,1054,168,66,2289
Zyg11b,176,126,2235,1074,6280,2556,8691
Coa7,45,24,696,374,2973,1412,3714
Shisal2a,6,6,570,340,17,5,593
Gpx7,284,173,561,322,444,221,1289
Tut4,489,340,4935,2058,630,172,6054
Prpf38a,222,103,939,446,355,130,1516
Orc1,133,83,2523,1218,358,108,3014
Cc2d1b,151,110,2547,1435,605,319,3303
Zfyve9,472,338,4194,1872,1793,778,6459
3110021N24Rik,345,158,459,360,1008,439,1812
Btf3l4,119,80,477,204,2545,962,3141
Txndc12,165,82,513,250,681,307,1359
Kti12,106,57,1056,664,467,197,1629
Rab3b,156,101,660,355,2511,1183,3327
Nrd1,178,126,3486,1609,647,275,4311
Osbpl9,57,32,2172,1006,179,88,2408
Calr4,93,37,1263,608,250,106,1606
Eps15,144,104,2694,1203,2352,832,5190
Ttc39a,85,73,1731,921,540,243,2356
Rnf11,443,342,465,233,3153,1154,4061
4930522H14Rik,70,30,693,296,91,27,854
Cdkn2c,1591,1051,507,262,373,121,2471
Faf1,440,343,1950,873,2078,892,4468
Dmrta2,292,213,1596,1174,1034,524,2922
Elavl4,396,193,1158,591,2595,829,4149
Agbl4,174,117,1485,708,1300,591,2959
Bend5,169,133,1266,672,391,170,1826
Spata6,223,173,1467,683,776,263,2466
Slc5a9,263,143,2058,1117,2163,977,4484
Skint8,40,13,1197,517,43,18,1280
Skint7,192,82,759,335,837,258,1788
Skint1,80,40,1095,459,85,35,1260
Skint4,230,90,1449,569,2318,937,3997
Skint3,205,79,1161,443,2261,769,3627
Skint9,72,29,960,356,340,102,1372
Skint2,31,13,1203,524,24,7,1258
Skint10,4,1,1065,392,307,94,1376
Skint6,54,23,3723,1373,47,23,3824
Skint5,12,4,4428,1622,57,31,4497
Skint11,156,63,1095,396,142,26,1393
Trabd2b,94,73,1554,930,4969,2422,6617
Foxd2,52,46,1479,1055,1061,524,2592
Foxe3,0,0,867,634,0,0,867
Cmpk1,108,92,684,305,2378,853,3170
Stil,263,153,3789,1711,1233,509,5285
Tal1,193,117,990,657,3030,1449,4213
Pdzk1ip1,423,240,345,193,351,185,1119
Cyp4x1,0,0,1524,777,0,0,1524
Cyp4a29,0,0,1530,753,0,0,1530
Cyp4a12a,82,43,1527,745,813,343,2422
Cyp4a12b,59,27,1527,751,809,339,2395
Cyp4a30b,0,0,1527,742,0,0,1527
Cyp4a14,29,12,1524,740,943,390,2496
Cyp4a10,58,28,1530,766,521,209,2109
Cyp4a31,68,30,1530,759,911,384,2509
Cyp4a32,0,0,1530,763,0,0,1530
Cyp4b1,36,23,1536,834,320,116,1892
Efcab14,586,300,1590,750,2124,858,4300
Tex38,31,18,606,312,165,71,802
Atpaf1,165,117,1047,573,1118,464,2330
Mob3c,199,141,651,364,2034,962,2884
Mknk1,238,128,1248,678,1066,528,2552
Kncn,338,194,375,222,238,126,951
6430628N08Rik,383,252,534,375,688,371,1605
Dmbx1,1836,859,1131,696,2832,1378,5799
Faah,269,188,1740,1004,1818,899,3827
Nsun4,100,54,1146,590,1193,537,2439
Uqcrh,102,55,270,134,175,84,547
Lrrc41,140,74,2424,1355,501,249,3065
Rad54l,595,285,2244,1136,186,68,3025
Pomgnt1,651,363,1983,1104,319,167,2953
Lurap1,115,82,720,435,4907,2264,5742
Tspan1,143,78,723,343,1119,545,1985
1700042G07Rik,29,19,273,160,83,42,385
Gm49337,17,11,1509,716,9,6,1535
Pik3r3,647,326,1386,627,3224,1375,5257
Mast2,268,215,5403,2941,52,24,5723
Ipp,152,97,1755,796,211,55,2118
Tmem69,158,69,738,305,1066,437,1962
Gpbp1l1,1242,550,1422,709,924,314,3588
Ccdc17,57,24,1698,929,248,88,2003
Nasp,107,59,1347,605,664,261,2118
Akr1a1,348,217,978,507,94,41,1420
Prdx1,128,73,600,256,1566,642,2294
Mmachc,88,44,840,447,1178,464,2106
Ccdc163,87,48,981,516,145,73,1213
Tesk2,390,239,1713,879,930,404,3033
Toe1,121,78,1536,824,433,171,2090
Mutyh,55,36,1548,891,51,18,1654
Hpdl,445,267,1116,678,243,123,1804
Zswim5,84,61,3567,2031,1931,892,5582
Urod,63,38,1104,605,322,160,1489
Hectd3,86,57,2586,1500,1911,972,4583
Eif2b3,85,54,1359,632,111,50,1555
Ptch2,281,188,3549,2127,552,279,4382
Btbd19,204,112,864,511,552,294,1620
Tctex1d4,233,129,660,406,97,40,990
Plk3,99,77,1947,1151,332,179,2378
Rps8,182,120,627,330,51,22,860
Kif2c,148,78,2166,1100,528,251,2842
Armh1,329,208,1326,681,181,98,1836
Tmem53,123,93,831,469,37,23,991
Rnf220,236,131,1062,605,377,200,1675
Eri3,231,170,1014,561,474,289,1719
Dmap1,105,62,1407,781,54,27,1566
Gm12845,0,0,1767,824,0,0,1767
Klf17,103,62,1026,525,1271,614,2400
Slc6a9,514,315,1902,1065,1063,604,3479
Ccdc24,0,0,891,509,0,0,891
B4galt2,480,363,1110,650,722,407,2312
Atp6v0b,93,71,618,328,289,160,1000
Dph2,176,101,1470,865,909,419,2555
Ipo13,628,395,2892,1632,75,41,3595
Artn,1071,643,675,470,431,210,2177
St3gal3,531,375,1125,607,893,508,2549
Kdm4a,98,51,3102,1668,79,34,3279
Ptprf,351,263,5697,3341,1608,844,7656
Szt2,84,59,10296,5999,585,306,10965
Med8,15,14,807,415,323,132,1145
Elovl1,137,87,840,425,834,438,1811
Cdc20,231,149,1500,833,62,15,1793
Mpl,42,26,1878,1114,1014,463,2934
Tie1,356,221,3405,1983,330,175,4091
2610528J11Rik,189,116,336,207,433,189,958
Tmem125,572,326,651,407,641,312,1864
Cfap57,125,63,3750,1874,145,81,4020
Ebna1bp2,133,83,921,480,1906,871,2960
Olfr62,130,58,948,458,1576,631,2654
Olfr1342,304,174,948,490,2017,782,3269
Olfr1341,670,307,939,454,3091,1359,4700
Olfr1340,194,91,948,441,2199,897,3341
Olfr1339,183,93,948,465,1428,615,2559
Olfr1338,0,0,942,450,0,0,942
Olfr1337,3,2,948,464,0,0,951
Olfr1335,82,42,1008,482,58,19,1148
Olfr1333,0,0,954,469,0,0,954
Olfr1331,305,144,954,468,1971,775,3230
Olfr1330,343,168,948,457,128,47,1419
Olfr1329,0,0,942,466,0,0,942
Olfr1328,0,0,942,468,2,1,944
Lao1,421,228,1572,846,356,171,2349
Slc2a1,244,159,1479,841,1537,761,3260
Zfp691,820,408,852,487,669,357,2341
Ermap,218,119,1779,943,2553,1165,4550
Svbp,217,161,201,102,315,139,733
AU022252,51,33,600,345,6500,3140,7151
Tmem269,120,69,765,374,619,270,1504
P3h1,11,8,2247,1302,719,362,2977
Cldn19,159,98,675,407,90,47,924
Ybx1,241,167,969,550,418,132,1628
Ppih,10,6,534,254,744,347,1288
Ccdc30,412,260,1965,974,1532,666,3909
Ppcs,67,50,936,535,440,212,1443
Zmynd12,72,50,1092,556,300,163,1464
Rimkla,169,135,1143,666,2785,1301,4097
Frg2f1,916,426,684,364,309,129,1909
Foxj3,202,153,1872,908,2715,1153,4789
Guca2a,47,26,351,199,196,103,594
Guca2b,99,64,321,179,185,92,605
Hivep3,1097,574,7047,4114,3694,1771,11838
AL607142.1,0,0,78,44,0,0,78
Edn2,304,207,528,320,630,306,1462
Foxo6,97,81,1680,1214,838,513,2615
Scmh1,433,243,1995,1053,925,497,3353
Slfnl1,388,225,1233,741,141,70,1762
Ctps,138,93,1776,853,791,341,2705
Gm8439,60,31,291,162,69,24,420
Cited4,231,144,549,402,469,283,1249
Kcnq4,72,60,2091,1285,1756,994,3919
Nfyc,259,118,1008,536,739,344,2006
Rims3,509,349,924,544,5072,2714,6505
Exo5,525,298,1122,548,349,124,1996
Zfp69,382,262,1764,901,216,62,2362
Smap2,396,297,1287,666,1222,592,2905
Col9a2,330,209,2067,1349,527,276,2924
Zmpste24,242,135,1428,614,1759,684,3429
Tmco2,69,29,564,252,86,33,719
Rlf,13,10,5757,2521,472,181,6242
Gm12888,24,11,360,163,797,312,1181
Gm12886,22,9,360,168,767,299,1149
Gm12887,0,0,360,164,0,0,360
9530002B09Rik,92,45,408,172,303,119,803
Ppt1,14,5,921,457,1446,609,2381
Cap1,256,161,1425,717,1087,524,2768
Mfsd2a,155,104,1605,875,391,186,2151
Mycl,424,315,1107,666,1970,974,3501
Trit1,13,6,1404,702,657,307,2074
Bmp8b,186,126,1200,698,1554,741,2940
Oxct2b,23,15,1563,939,149,77,1735
Ppie,19,13,906,468,263,143,1188
Hpcal4,509,316,576,317,3846,1894,4931
Nt5c1a,54,36,1098,634,68,37,1220
Heyl,311,243,981,582,3245,1681,4537
Pabpc4,704,421,1983,1096,332,117,3019
Bmp8a,95,68,1200,732,622,316,1917
Oxct2a,48,34,1563,945,149,75,1760
Macf1,171,78,22068,10465,1256,473,23495
Ndufs5,247,117,321,168,112,48,680
Akirin1,181,129,576,322,2295,964,3052
Rhbdl2,117,79,909,453,191,102,1217
Mycbp,241,170,312,148,1132,429,1685
Rragc,88,70,1197,557,1308,612,2593
Pou3f1,900,664,1350,983,1599,813,3849
Utp11,98,61,762,358,743,265,1603
Fhl3,153,120,870,514,641,318,1664
Sf3a3,119,76,1506,756,195,75,1820
Inpp5b,137,83,2982,1561,690,319,3809
Mtf1,146,91,2028,1076,5457,2603,7631
1110065P20Rik,253,192,333,238,382,208,968
Yrdc,96,71,843,550,695,283,1634
Maneal,4,3,1359,824,1364,657,2727
Epha10,976,586,879,561,689,345,2544
Cdca8,235,143,870,450,521,267,1626
9930104L06Rik,263,128,654,381,1994,950,2911
Rspo1,482,342,798,489,554,263,1834
Gnl2,139,85,2187,1039,40,12,2366
Dnali1,105,65,777,435,1251,624,2133
Snip1,81,50,1152,653,1112,503,2345
Meaf6,43,33,576,308,3931,1960,4550
Zc3h12a,108,63,1791,1053,856,458,2755
Grik3,131,110,2760,1557,6082,3200,8973
Csf3r,365,202,2514,1396,602,287,3481
Mrps15,145,98,777,401,15,7,937
Oscp1,116,70,1140,593,3757,1761,5013
Lsm10,211,139,369,198,363,181,943
Stk40,183,141,1308,740,2001,1099,3492
Eva1b,983,621,495,319,211,118,1689
Sh3d21,263,165,1998,1121,123,62,2384
Thrap3,208,135,2856,1472,1314,600,4378
Map7d1,221,160,2541,1628,589,308,3351
Trappc3,171,119,543,283,622,310,1336
Col8a2,200,153,2100,1354,2032,1055,4332
Adprhl2,33,24,1113,682,526,302,1672
Tekt2,164,92,1293,700,85,41,1542
Ago3,270,184,2583,1205,12742,5134,15595
Ago1,162,121,2574,1399,4491,2143,7227
Ago4,269,207,2586,1306,3682,1589,6537
Clspn,179,111,3948,1959,900,397,5027
5730409E04Rik,195,144,693,410,1998,983,2886
Psmb2,125,86,606,305,128,47,859
Tfap2e,249,168,1329,867,507,248,2085
Ncdn,406,232,2190,1327,1085,647,3681
AU040320,254,174,3258,1771,679,286,4191
Zmym4,281,224,4650,2042,2171,922,7102
Sfpq,93,55,2100,1225,1272,448,3465
Zmym1,352,194,2952,1261,548,213,3852
Zmym6,267,160,3750,1631,193,49,4210
Tmem35b,43,28,453,255,624,267,1120
Dlgap3,619,356,2934,1900,654,434,4207
Smim12,120,93,279,155,623,353,1022
Gja4,137,94,1002,598,546,299,1685
Gjb3,377,246,813,461,690,366,1880
Gjb4,385,214,801,445,260,133,1446
Gjb5,180,103,816,439,725,375,1721
CK137956,117,68,1791,1022,411,186,2319
Csmd2,26,20,10836,6210,2693,1351,13555
Hmgb4,184,93,546,258,16,4,746
Zscan20,214,135,3093,1790,2057,965,5364
Tlr12,164,90,2721,1535,292,154,3177
Phc2,169,126,2553,1562,1227,697,3949
A3galt2,651,311,1113,648,1626,853,3390
Zfp362,122,79,1257,765,1433,774,2812
Trim62,582,425,1428,879,1742,898,3752
Azin2,352,243,1380,807,331,181,2063
Ak2,120,73,720,391,146,63,986
Rnf19b,0,0,2196,1312,336,123,2532
Tmem54,168,123,660,370,238,124,1066
Hpca,407,268,582,327,858,473,1847
Fndc5,80,68,630,372,2053,1038,2763
S100pbp,290,180,1191,537,2945,1262,4426
Yars,256,153,1587,830,1066,553,2909
C77080,97,86,3213,2048,1877,1017,5187
Sync,122,90,1413,833,507,209,2042
Rbbp4,137,103,1278,600,2992,1229,4407
Zbtb8os,348,191,504,231,2981,1342,3833
Zbtb8a,472,276,1305,703,544,225,2321
Zbtb8b,85,57,1455,823,1748,780,3288
Bsdc1,114,66,1284,719,1425,701,2823
Tssk3,416,246,807,424,57,23,1280
Fam229a,9,6,387,272,162,89,558
Marcksl1,249,194,603,378,753,362,1605
Hdac1,84,67,1449,724,505,227,2038
Lck,206,115,1530,849,449,222,2185
Fam167b,174,90,489,299,250,120,913
Eif3i,52,31,978,526,93,37,1123
Tmem234,36,22,423,244,978,505,1437
Dcdc2b,0,0,864,490,0,0,864
Iqcc,44,31,1257,657,1338,633,2639
Ccdc28b,158,81,603,340,118,57,879
Txlna,384,225,1665,959,2798,1432,4847
Kpna6,87,61,1611,788,4012,1963,5710
Tmem39b,120,88,1479,836,211,88,1810
Khdrbs1,136,97,1332,733,2270,820,3738
Ptp4a2,986,542,504,222,2156,874,3646
Spocd1,163,84,2811,1610,122,53,3096
Adgrb2,159,124,4650,2863,295,184,5104
Col16a1,278,181,4743,2939,185,77,5206
Pef1,434,229,828,478,653,347,1915
Hcrtr1,564,349,1251,736,624,347,2439
Tinagl1,229,119,1401,849,346,198,1976
Ldc1,276,157,1278,746,760,372,2314
Serinc2,90,69,1353,772,435,247,1878
Fabp3,183,117,402,206,238,121,823
Zcchc17,123,67,726,342,1264,668,2113
Snrnp40,74,54,1077,578,433,182,1584
Nkain1,291,241,624,349,287,170,1202
Pum1,158,108,3570,1875,1661,655,5389
Sdc3,134,107,1329,851,3510,1962,4973
Laptm5,223,140,786,426,1591,890,2600
Matn1,39,24,1503,880,459,220,2001
Ptpru,132,101,4311,2562,1041,583,5484
Mecr,33,21,1122,631,182,102,1337
Srsf4,147,118,1476,855,634,310,2257
Tmem200b,0,0,855,623,515,298,1370
Epb41,1477,749,2577,1268,2511,1284,6565
Oprd1,101,79,1119,701,2801,1427,4021
Ythdf2,377,282,1740,837,2012,783,4129
Gmeb1,94,46,1689,913,4740,2115,6523
Taf12,197,112,486,245,3104,1546,3787
Rab42,48,30,648,387,65,33,761
Trnau1ap,159,120,864,458,107,35,1130
Rcc1,156,77,1266,740,904,434,2326
Phactr4,183,120,2085,1089,2346,1113,4614
Med18,219,117,627,353,829,326,1675
Sesn2,348,245,1443,865,1684,929,3475
Atpif1,91,57,321,167,127,61,539
Dnajc8,36,21,762,350,603,285,1401
Ptafr,254,151,1026,520,2357,1148,3637
Eya3,173,100,1581,767,3406,1744,5160
Xkr8,81,57,1206,689,2958,1438,4245
Smpdl3b,207,131,1371,757,428,196,2006
Rpa2,122,73,813,424,878,437,1813
Themis2,34,18,1992,1144,1053,506,3079
Ppp1r8,57,35,1056,570,924,443,2037
Stx12,144,99,825,405,1965,791,2934
Fam76a,120,97,924,457,2009,924,3053
Fgr,242,144,1554,860,1567,756,3363
Ahdc1,650,421,4785,3004,1167,532,6602
Wasf2,266,177,1494,816,3882,2075,5642
Gpr3,498,268,993,593,1027,497,2518
Cd164l2,170,120,519,296,297,176,986
Map3k6,271,164,3876,2327,187,88,4334
Sytl1,165,96,1707,1047,79,39,1951
Tmem222,68,53,627,359,789,430,1484
Wdtc1,428,281,2034,1170,1729,1039,4191
Slc9a1,838,486,2463,1422,1375,808,4676
Tent5b,168,117,1284,811,835,448,2287
Trnp1,93,69,672,522,889,487,1654
Kdf1,93,66,1194,758,421,225,1708
Nudc,111,82,999,562,206,109,1316
Nr0b2,49,24,783,478,300,152,1132
Gpatch3,15,8,1578,978,411,234,2004
Gpn2,97,55,933,569,337,160,1367
Sfn,399,242,747,447,467,274,1613
Zdhhc18,80,72,1143,711,3357,1912,4580
Pigv,374,262,1482,831,2123,1068,3979
Arid1a,0,0,6852,4086,1323,548,8175
Rps6ka1,165,132,2208,1242,762,423,3135
Hmgn2,192,126,273,142,800,313,1265
Dhdds,228,117,1002,547,1989,1003,3219
Lin28a,100,71,630,385,2775,1301,3505
Zfp683,38,21,1377,802,56,28,1471
Crybg2,113,60,4551,2685,97,39,4761
Cd52,98,48,225,108,191,106,514
Ubxn11,99,65,1455,836,19,11,1573
Sh3bgrl3,126,88,282,162,335,182,743
Cep85,186,127,2286,1188,1421,701,3893
Zpld2,12,6,2040,1067,286,140,2338
Catsper4,46,26,1329,669,350,203,1725
Cnksr1,91,66,2103,1237,274,136,2468
Zfp593,89,52,405,257,1500,825,1994
E130218I03Rik,49,31,192,113,1488,878,1729
Gm30191,83,51,564,352,0,0,647
Grrp1,170,102,816,557,240,130,1226
Pdik1l,286,197,1026,484,3374,1313,4686
Trim63,104,56,1068,589,714,343,1886
Slc30a2,81,58,1116,636,1956,986,3153
Extl1,840,484,2010,1199,1276,683,4126
Pafah2,150,81,1173,661,925,460,2248
Stmn1,170,103,450,240,440,199,1060
Paqr7,148,91,1038,613,2364,1152,3550
Aunip,93,70,1023,518,159,78,1275
Mtfr1l,298,198,870,466,857,407,2025
Selenon,47,37,1674,1018,1724,911,3445
Man1c1,821,620,1878,1089,2016,993,4715
Ldlrap1,124,95,927,543,5498,2926,6549
Maco1,228,175,1995,958,1603,692,3826
Rhd,65,43,1257,697,192,79,1514
Tmem50a,148,85,474,244,582,272,1204
Rsrp1,228,134,897,535,624,235,1749
Syf2,97,59,729,383,543,253,1369
Runx3,454,205,1272,848,2158,1120,3884
Clic4,225,165,762,385,3132,1446,4119
Srrm1,127,99,2772,1479,253,75,3152
Ncmap,505,315,303,177,993,492,1801
Rcan3,279,208,720,408,4112,1982,5111
Nipal3,439,257,1233,695,3481,1828,5153
Stpg1,204,118,1026,529,1150,635,2380
Grhl3,206,121,1812,977,771,347,2789
Ifnlr1,255,164,1608,915,2319,1113,4182
Il22ra1,48,35,1746,985,775,423,2569
Myom3,110,61,4320,2455,1145,561,5575
Srsf10,480,341,552,255,2722,960,3754
Pnrc2,400,213,423,186,1096,377,1919
Cnr2,272,154,1044,596,2551,1249,3867
Fuca1,69,46,1359,751,1097,553,2525
Hmgcl,33,22,978,546,407,207,1418
Gale,174,95,1044,613,319,176,1537
Lypla2,137,92,696,400,793,507,1626
Pithd1,129,99,636,350,935,461,1700
Eloa,138,101,2322,1164,2248,1014,4708
Rpl11,40,25,537,286,256,130,833
Id3,382,206,360,228,536,277,1278
E2f2,387,283,1332,802,3020,1595,4739
Asap3,154,100,2715,1607,1356,709,4225
Tcea3,97,70,1044,564,110,48,1251
Zfp46,553,310,1359,807,2727,1280,4639
Hnrnpr,134,89,1899,910,19419,7806,21452
Htr1d,967,470,1125,609,812,362,2904
Luzp1,397,229,3207,1530,3922,1846,7526
Kdm1a,102,83,2622,1362,304,119,3028
Tex46,62,40,498,245,123,53,683
Lactbl1,182,95,1746,1129,1026,537,2954
Ephb2,158,132,2961,1701,7783,4201,10902
C1qb,166,97,762,444,160,83,1088
C1qc,223,118,741,458,239,116,1203
C1qa,65,40,738,433,237,146,1040
Epha8,69,61,3015,1873,1629,954,4713
Zbtb40,97,55,3777,2125,3318,1802,7192
Wnt4,191,164,1056,652,2947,1528,4194
Cdc42,125,71,576,257,1407,569,2108
Cela3a,32,15,852,493,74,36,958
Cela3b,41,21,810,476,75,37,926
1700013G24Rik,122,69,861,492,65,30,1048
Hspg2,59,45,13152,8004,965,579,14176
Ldlrad2,148,95,1035,649,0,0,1183
Usp48,243,183,3111,1490,2387,1159,5741
Rap1gap,45,33,2184,1239,1018,632,3247
Alpl,243,164,1575,887,704,373,2522
Ece1,231,148,2262,1256,2323,1234,4816
Eif4g3,477,326,4737,2521,925,316,6139
Hp1bp3,266,160,1665,853,1430,626,3361
Sh2d5,164,101,1290,799,2075,1081,3529
Kif17,271,228,3117,1812,65,35,3453
Ddost,149,111,1326,741,645,328,2120
Pink1,88,61,1743,1079,544,261,2375
Cda,49,33,441,262,356,188,846
Fam43b,521,344,993,709,923,514,2437
Mul1,89,64,1059,608,2585,1428,3733
Camk2n1,872,636,237,145,3335,1606,4444
Vwa5b1,131,62,3648,2070,3707,1837,7486
Ubxn10,478,252,834,498,1992,1020,3304
Pla2g2c,625,365,453,252,2370,1224,3448
Pla2g2f,153,87,633,366,1679,923,2465
Pla2g2d,79,49,435,235,1653,809,2167
Pla2g5,579,306,414,220,1296,659,2289
Gm13030,36,21,432,215,187,79,655
Pla2g2e,165,101,429,244,260,150,854
Otud3,118,95,1191,679,359,203,1668
Rnf186,39,21,843,500,372,192,1254
Tmco4,771,470,1896,1105,651,345,3318
Htr6,706,458,1323,846,312,173,2341
